p,lambda,rho,d,n_samples,avg_acc,avg_f1,avg_rate,avg_kll,avg_rkll,avg_rte,avg_fro,avg_spec,avg_l1,std_acc,std_f1,std_rate,std_kll,std_rkll,std_rte,std_fro,std_spec,std_l1,best_thr,best_cm
25,0.01,0.1,15,1037,0.844,0.8670686123911929,0.8533333333333333,0.020237894069723695,0.020155056803597304,0.005806253539892637,0.19768411177776296,0.08483202756220706,0.18334424158102375,0.05499090833947009,0.04948485871191771,0.11075498483890767,0.005249992902697081,0.0053108294631885175,0.0037513648238675676,0.023847090662388205,0.01614258758357689,0.04037113680033403,"[np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.0), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.0)]","[array([[ 8,  2],
       [ 2, 13]]), array([[ 9,  1],
       [ 3, 12]]), array([[10,  0],
       [ 3, 12]]), array([[10,  0],
       [ 2, 13]]), array([[ 5,  5],
       [ 0, 15]]), array([[10,  0],
       [ 2, 13]]), array([[ 8,  2],
       [ 1, 14]]), array([[10,  0],
       [ 6,  9]]), array([[ 9,  1],
       [ 3, 12]]), array([[ 4,  6],
       [ 0, 15]])]"
25,0.01,0.5,15,1037,0.86,0.8807774735969461,0.8733333333333334,0.021722740027023946,0.021908724545341228,0.006703016966376163,0.20442222276832117,0.08370136408731624,0.1577926735572428,0.05440588203494176,0.049396662713094064,0.12092238098144704,0.009856508489252385,0.010018318141865016,0.004167247925083524,0.03970723887649924,0.012797912655319196,0.021631954482634715,"[np.float64(0.0), np.float64(0.01), np.float64(0.0), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.0), np.float64(0.01), np.float64(0.01), np.float64(0.0)]","[array([[ 6,  4],
       [ 0, 15]]), array([[10,  0],
       [ 1, 14]]), array([[ 6,  4],
       [ 1, 14]]), array([[10,  0],
       [ 3, 12]]), array([[10,  0],
       [ 5, 10]]), array([[10,  0],
       [ 4, 11]]), array([[ 6,  4],
       [ 0, 15]]), array([[10,  0],
       [ 1, 14]]), array([[10,  0],
       [ 4, 11]]), array([[ 6,  4],
       [ 0, 15]])]"
25,0.01,1.0,15,1037,0.86,0.8740348540348541,0.82,0.022248899169479586,0.022051690678728163,0.006256013636740399,0.20596380968575456,0.08546790851986794,0.1760436038719643,0.0447213595499958,0.04472684173795801,0.08459051693633016,0.010468305831795153,0.010365473462015409,0.00435818261364894,0.045722615086162335,0.026694276118081863,0.05329881472883649,"[np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.0), np.float64(0.01), np.float64(0.01), np.float64(0.0), np.float64(0.01), np.float64(0.01), np.float64(0.01)]","[array([[ 9,  1],
       [ 3, 12]]), array([[ 9,  1],
       [ 3, 12]]), array([[10,  0],
       [ 4, 11]]), array([[ 8,  2],
       [ 2, 13]]), array([[10,  0],
       [ 3, 12]]), array([[10,  0],
       [ 2, 13]]), array([[ 7,  3],
       [ 0, 15]]), array([[10,  0],
       [ 3, 12]]), array([[10,  0],
       [ 2, 13]]), array([[ 9,  1],
       [ 5, 10]])]"
25,0.01,2.0,15,1037,0.916,0.9257232904285185,0.8866666666666667,0.020522169315502124,0.020595537023376666,0.005829891862109504,0.20048460298619122,0.08679060517837608,0.15969033890459744,0.033226495451672285,0.031587846846433294,0.06699917080747259,0.008668902452194755,0.008846204216025087,0.003312340157180991,0.03940730966198477,0.016503115931497003,0.03317998310044818,"[np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01)]","[array([[ 9,  1],
       [ 0, 15]]), array([[ 9,  1],
       [ 2, 13]]), array([[10,  0],
       [ 2, 13]]), array([[ 9,  1],
       [ 1, 14]]), array([[ 9,  1],
       [ 1, 14]]), array([[10,  0],
       [ 3, 12]]), array([[10,  0],
       [ 3, 12]]), array([[10,  0],
       [ 1, 14]]), array([[10,  0],
       [ 1, 14]]), array([[10,  0],
       [ 3, 12]])]"
25,0.05,0.1,15,1037,0.8640000000000001,0.8735420263006469,0.7933333333333333,0.027969205502324714,0.028137347223869114,0.00932519707496401,0.2157504051628647,0.09373747162930715,0.18327898439455936,0.04454211490264018,0.045250580441121145,0.06960204339273703,0.015621439441790789,0.01652377723825204,0.008061163812863058,0.041869760839514866,0.029161269397125333,0.04521378331688569,"[np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01)]","[array([[ 9,  1],
       [ 2, 13]]), array([[10,  0],
       [ 5, 10]]), array([[10,  0],
       [ 4, 11]]), array([[10,  0],
       [ 2, 13]]), array([[10,  0],
       [ 2, 13]]), array([[10,  0],
       [ 3, 12]]), array([[10,  0],
       [ 2, 13]]), array([[10,  0],
       [ 4, 11]]), array([[ 9,  1],
       [ 3, 12]]), array([[ 9,  1],
       [ 4, 11]])]"
25,0.05,0.5,15,1037,0.8760000000000001,0.8878902706488914,0.8333333333333333,0.022926125819728683,0.023023444675791184,0.005146678904746782,0.20667046645976678,0.08917254065737716,0.18792844680817822,0.04176122603564222,0.04336278771776153,0.09067647005823631,0.005768822191547276,0.005898434229393147,0.0029755464276853736,0.02552961944909177,0.009571750810957002,0.027900913361368417,"[np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.0), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01)]","[array([[ 8,  2],
       [ 2, 13]]), array([[10,  0],
       [ 5, 10]]), array([[10,  0],
       [ 2, 13]]), array([[10,  0],
       [ 2, 13]]), array([[10,  0],
       [ 4, 11]]), array([[ 7,  3],
       [ 0, 15]]), array([[10,  0],
       [ 2, 13]]), array([[10,  0],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[10,  0],
       [ 4, 11]])]"
25,0.05,1.0,15,1037,0.8600000000000001,0.8852789356237633,0.8866666666666667,0.022562787725561508,0.02260232411863896,0.007684689143936119,0.20725935087180147,0.0837263553569387,0.16887574058755256,0.05999999999999999,0.042549884832718855,0.09910712498212337,0.007168139473004791,0.007283382605669958,0.004737611467194664,0.031379728686583265,0.016287601941040317,0.031551201178280794,"[np.float64(0.01), np.float64(0.01), np.float64(0.0), np.float64(0.01), np.float64(0.01), np.float64(0.0), np.float64(0.0), np.float64(0.01), np.float64(0.01), np.float64(0.01)]","[array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 1, 14]]), array([[ 5,  5],
       [ 0, 15]]), array([[10,  0],
       [ 2, 13]]), array([[10,  0],
       [ 4, 11]]), array([[ 5,  5],
       [ 0, 15]]), array([[ 4,  6],
       [ 0, 15]]), array([[10,  0],
       [ 1, 14]]), array([[10,  0],
       [ 3, 12]]), array([[10,  0],
       [ 4, 11]])]"
25,0.05,2.0,15,1037,0.8640000000000001,0.8821584189231249,0.8666666666666666,0.0245500358630661,0.02427144363589413,0.004059941257211608,0.20643968295791906,0.08166257911119193,0.16511063154967304,0.06740919818541087,0.06396282852360297,0.1299572579307862,0.011423309481441083,0.011028779204893587,0.0024910186197842693,0.05094365347912091,0.022356282345561067,0.04564214419662793,"[np.float64(0.0), np.float64(0.0), np.float64(0.01), np.float64(0.0), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01)]","[array([[ 6,  4],
       [ 0, 15]]), array([[ 5,  5],
       [ 0, 15]]), array([[ 9,  1],
       [ 4, 11]]), array([[ 6,  4],
       [ 0, 15]]), array([[10,  0],
       [ 2, 13]]), array([[10,  0],
       [ 2, 13]]), array([[10,  0],
       [ 3, 12]]), array([[10,  0],
       [ 3, 12]]), array([[10,  0],
       [ 0, 15]]), array([[10,  0],
       [ 6,  9]])]"
25,0.1,0.1,15,1037,0.8640000000000001,0.8728353695803641,0.8133333333333332,0.02411051580620054,0.023952995158889222,0.004546684732617845,0.21146416200244555,0.08479904502896862,0.17544528866815096,0.06248199740725323,0.0667793292573542,0.12578641509408808,0.008047023839403979,0.007832416841446014,0.0037621042208599857,0.03011260378736736,0.014237720432884795,0.027431762796008344,"[np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.0), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.0)]","[array([[10,  0],
       [ 1, 14]]), array([[10,  0],
       [ 4, 11]]), array([[10,  0],
       [ 4, 11]]), array([[10,  0],
       [ 5, 10]]), array([[ 8,  2],
       [ 0, 15]]), array([[10,  0],
       [ 1, 14]]), array([[ 9,  1],
       [ 3, 12]]), array([[ 9,  1],
       [ 3, 12]]), array([[10,  0],
       [ 6,  9]]), array([[ 8,  2],
       [ 1, 14]])]"
25,0.1,0.5,15,1037,0.8240000000000001,0.8357057387057386,0.76,0.02996207501677155,0.029625835025637315,0.004734884029143027,0.22664538825103048,0.09000815905074723,0.19044805036930038,0.06740919818541088,0.06749951889465011,0.12000000000000002,0.011471489307799001,0.011163472097648104,0.0032870118372783992,0.042604480823279035,0.015799678713727575,0.02987242776967355,"[np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.0), np.float64(0.01), np.float64(0.01), np.float64(0.01)]","[array([[ 9,  1],
       [ 5, 10]]), array([[10,  0],
       [ 2, 13]]), array([[10,  0],
       [ 4, 11]]), array([[10,  0],
       [ 3, 12]]), array([[10,  0],
       [ 2, 13]]), array([[10,  0],
       [ 4, 11]]), array([[ 4,  6],
       [ 0, 15]]), array([[10,  0],
       [ 6,  9]]), array([[9, 1],
       [6, 9]]), array([[10,  0],
       [ 4, 11]])]"
